Date,AAPL,MSFT,AMZN,BRK.B,GOOGL,UNH,JNJ,XOM,JPM,NVDA,PG,TSLA,V,HD,CVX,MA,PFE,ABBV,LLY,MRK,META,PEP,KO,BAC,AVGO,TMO,COST,WMT,MCD,CSCO,ACN,NEE,VZ,DIS,ADBE,BMY,PM,WFC,CMCSA,NKE,RTX,HON,AMGN,NFLX
08/01/2021,146.36,286.36,167.65,279.31,135.12,413.57,172.47,57.55,152.03,197,141.77,233.33,246.24,330,102.08,389.3,43.3,116.89,245.73,76.93,358.1,157,57.2,38.4,489.05,542.08,430.62,142.83,244.24,55.6,319.27,78.47,56.06,177.22,625.87,68.2,100.64,46.04,58.96,169.06,87.14,235.14,242.12,519
07/01/2021,136.6,269.61,171.73,278.2,121.72,402.03,164.74,64.33,156.26,201.25,135.43,227.97,234.2,319.91,106.95,366.05,39.17,112.95,229.51,77.65,346.82,148.08,54.34,41.56,477.84,505.84,396.3,140.41,231.41,53.05,295.48,73.3,56.18,175.35,583.33,66.42,99.21,45.48,57.07,154.07,85.42,220.58,243.74,525.72
06/01/2021,125.08,251.23,162.17,291.52,118.72,413.73,170.15,59.45,165.87,162.7,135.79,209.27,229.44,320.66,105.3,364.48,38.94,113.7,200.32,72.53,330.15,148.78,55.34,42.95,475.44,467,379.92,142.21,235.98,52.96,285.58,73.4,56.75,180.18,504.54,66.4,97.01,47.16,57.91,137.85,89.81,232.89,242.2,504.01
05/01/2021,132.04,253.4,174.24,278.55,118.25,401,163.6,57.98,154.85,151.25,134.03,234.6,234.05,326.28,103.98,385.47,39.04,112.4,182.99,70.81,326.17,145.03,54.27,40.87,459.75,471.78,373.84,139.68,237.99,51.21,292.93,77.83,58.23,187.69,510.97,62.7,95.51,45.45,56.44,133.37,83.8,224.24,240.67,512.65
04/01/2021,123.66,238.47,155.9,255.74,104.61,372.2,162.6,56.32,151.9,135.72,135.05,229.46,213.78,306.88,105.26,357.04,36.3,108.92,186.82,73.57,298.4,141.19,52.96,38.83,472.07,461.25,352.54,135.94,224.67,51.75,278.62,75.5,58.02,186.43,483.12,63.18,88.42,38.96,54.62,134.69,77.61,217.96,249.73,529.93
03/01/2021,123.75,235.9,156.39,246.86,102.4,334.36,161.45,56.47,149.52,138.75,124.16,230.04,214.97,258.81,102.46,360.68,33.59,108.53,205.78,69.81,260.82,130.61,49.44,35.52,479.7,454.19,335.21,131.58,207.35,45.22,254,74.64,55.49,193.23,465.68,61.9,84.73,37.11,53.22,135.64,73.51,204.33,225.88,545.57
02/01/2021,133.75,235.06,162.12,229.97,92.23,335.03,165.31,45.58,129.4,130.53,129,271.43,195.14,271.23,85.99,320.91,35.93,103,209.46,74.37,259.52,136.98,48.27,29.87,455.85,516.84,351.21,140.91,208.48,44.92,246.1,82.27,55.27,170.84,462.28,61.91,79,30.14,49.86,135.37,67.6,197.55,244.3,536.79
01/01/2021,133.52,222.53,163.5,231.73,88,351.45,157.24,41.45,127.5,131.04,139.66,239.82,220.25,266.01,85.15,358,36.87,107.18,169.02,78.19,274.78,147.01,54.27,30.46,439.33,469.05,377.43,144.3,214.49,44.31,261,77.21,58.96,182.26,500.3,61.74,82.82,30.32,52.28,142.85,71.38,212.84,231.25,539
12/01/2020,121.01,214.51,159.43,230.23,88.33,344.77,146.29,38.96,120.34,134.92,139.16,199.2,212.13,278.73,89.28,339.67,39.4,105.05,146.69,77.19,279.16,145.03,52.14,28.74,403.46,470,384.5,153.6,218.88,43.01,251.51,74.12,60.43,149.57,482.01,63.15,76.02,28.15,50.75,136.44,72.72,207.09,224.88,492.34
11/01/2020,109.11,204.29,153.09,204.84,81.18,312.64,138.98,33.14,99.39,126.58,138.51,131.33,184.51,270.15,70.7,294.24,34.06,86.03,132.54,72.9,264.6,135.61,48.75,23.89,355.04,478.8,352.97,140.59,215.88,36.19,219.17,74.1,57.67,122.24,451,59.19,71.94,21.7,42.75,122.37,55.4,169.2,221.56,478.87
